[2025-12-11 12:46:50] INPUT_ACTION | Down
[2025-12-11 12:46:51] INPUT_ACTION | Down
[2025-12-11 12:46:51] INPUT_ACTION | Down
[2025-12-11 12:46:53] INPUT_ACTION | Up
[2025-12-11 12:46:53] INPUT_ACTION | Up
[2025-12-11 12:46:53] INPUT_ACTION | Up
[2025-12-11 12:46:53] INPUT_ACTION | Up
[2025-12-11 12:46:54] INPUT_ACTION | Down
[2025-12-11 12:46:55] INPUT_ACTION | Enter
[2025-12-11 12:46:56] INPUT_ACTION | Escape
[2025-12-11 12:46:59] INPUT_ACTION | Up
[2025-12-11 12:46:59] INPUT_ACTION | Down
[2025-12-11 12:46:59] INPUT_ACTION | Down
[2025-12-11 12:46:59] INPUT_ACTION | Escape
[2025-12-11 12:47:00] INPUT_ACTION | Down
[2025-12-11 12:47:00] INPUT_ACTION | Down
[2025-12-11 12:47:03] INPUT_ACTION | Down
[2025-12-11 12:47:03] INPUT_ACTION | Escape
[2025-12-11 12:47:03] INPUT_ACTION | Q
[2025-12-11 12:47:31] INPUT_ACTION | Down
[2025-12-11 12:47:32] INPUT_ACTION | Up
[2025-12-11 12:47:40] INPUT_ACTION | Down
[2025-12-11 12:47:41] INPUT_ACTION | Up
[2025-12-11 12:47:41] INPUT_ACTION | Enter
[2025-12-11 12:47:43] INPUT_ACTION | Up
[2025-12-11 12:47:45] INPUT_ACTION | Enter
[2025-12-11 12:47:46] INPUT_ACTION | Escape
[2025-12-11 12:47:47] INPUT_ACTION | Down
[2025-12-11 12:47:47] INPUT_ACTION | Enter
[2025-12-11 12:47:48] INPUT_ACTION | Down
[2025-12-11 12:47:50] INPUT_ACTION | Enter
[2025-12-11 12:47:50] INPUT_ACTION | Down
[2025-12-11 12:47:51] INPUT_ACTION | Enter
[2025-12-11 12:47:52] INPUT_ACTION | Down
[2025-12-11 12:47:53] INPUT_ACTION | Enter
[2025-12-11 12:47:53] INPUT_ACTION | Down
[2025-12-11 12:47:55] INPUT_ACTION | Enter
[2025-12-11 12:47:55] INPUT_ACTION | Down
[2025-12-11 12:47:56] INPUT_ACTION | Enter
[2025-12-11 12:47:57] INPUT_ACTION | Enter
[2025-12-11 12:47:57] INPUT_ACTION | Enter
[2025-12-11 12:47:57] INPUT_ACTION | Down
[2025-12-11 12:47:57] INPUT_ACTION | Enter
[2025-12-11 12:47:58] INPUT_ACTION | Enter
[2025-12-11 12:47:58] INPUT_ACTION | Enter
[2025-12-11 12:47:59] INPUT_ACTION | Enter
[2025-12-11 12:48:00] INPUT_ACTION | Down
[2025-12-11 12:48:02] INPUT_ACTION | Enter
[2025-12-11 12:48:02] INPUT_ACTION | Down
[2025-12-11 12:48:03] INPUT_ACTION | Enter
[2025-12-11 12:48:05] INPUT_ACTION | Escape
[2025-12-11 12:48:06] INPUT_ACTION | Up
[2025-12-11 12:48:07] INPUT_ACTION | Escape
[2025-12-11 12:48:08] INPUT_ACTION | Q
[2025-12-11 12:48:26] INPUT_ACTION | Enter
[2025-12-11 12:48:27] INPUT_ACTION | Down
[2025-12-11 12:48:29] INPUT_ACTION | Enter
[2025-12-11 12:48:29] INPUT_ACTION | Escape
[2025-12-11 12:48:30] INPUT_ACTION | Down
[2025-12-11 12:48:30] INPUT_ACTION | Enter
[2025-12-11 12:48:31] INPUT_ACTION | Down
[2025-12-11 12:48:36] INPUT_ACTION | Enter
[2025-12-11 12:48:36] INPUT_ACTION | Down
[2025-12-11 12:48:38] INPUT_ACTION | Enter
[2025-12-11 12:48:38] INPUT_ACTION | Down
[2025-12-11 12:48:45] INPUT_ACTION | Enter
[2025-12-11 12:48:46] INPUT_ACTION | Down
[2025-12-11 12:49:10] INPUT_ACTION | Escape
[2025-12-11 12:49:11] INPUT_ACTION | Down
[2025-12-11 12:49:12] INPUT_ACTION | Down
[2025-12-11 12:49:13] INPUT_ACTION | Enter
[2025-12-11 12:49:15] INPUT_ACTION | Down
[2025-12-11 12:49:17] INPUT_ACTION | Up
[2025-12-11 12:49:18] INPUT_ACTION | Down
[2025-12-11 12:49:19] INPUT_ACTION | Down
[2025-12-11 12:49:20] INPUT_ACTION | Down
[2025-12-11 12:49:20] INPUT_ACTION | Down
[2025-12-11 12:49:23] INPUT_ACTION | Down
[2025-12-11 12:49:23] INPUT_ACTION | Up
[2025-12-11 12:49:34] INPUT_ACTION | Enter
[2025-12-11 12:49:34] INPUT_ACTION | Up
[2025-12-11 12:49:36] INPUT_ACTION | Escape
[2025-12-11 12:49:37] INPUT_ACTION | Down
[2025-12-11 12:49:37] INPUT_ACTION | Enter
[2025-12-11 12:49:38] INPUT_ACTION | Down
[2025-12-11 12:49:41] INPUT_ACTION | Down
[2025-12-11 12:49:41] INPUT_ACTION | Down
[2025-12-11 12:49:41] INPUT_ACTION | Down
[2025-12-11 12:49:43] INPUT_ACTION | Up
[2025-12-11 12:49:54] INPUT_ACTION | Enter
[2025-12-11 12:49:59] INPUT_ACTION | Q
[2025-12-11 12:54:08] INPUT_ACTION | Enter
[2025-12-11 12:54:08] INPUT_ACTION | Up
[2025-12-11 12:54:10] INPUT_ACTION | Enter
[2025-12-11 12:54:10] INPUT_ACTION | Escape
[2025-12-11 12:54:11] INPUT_ACTION | Down
[2025-12-11 12:54:11] INPUT_ACTION | Enter
[2025-12-11 12:54:13] INPUT_ACTION | Enter
[2025-12-11 12:54:14] INPUT_ACTION | Down
[2025-12-11 12:54:14] INPUT_ACTION | Down
[2025-12-11 12:54:14] INPUT_ACTION | Down
[2025-12-11 12:54:15] INPUT_ACTION | Down
[2025-12-11 12:54:16] INPUT_ACTION | Down
[2025-12-11 12:54:17] INPUT_ACTION | Enter
[2025-12-11 12:54:17] INPUT_ACTION | Up
[2025-12-11 12:54:18] INPUT_ACTION | Enter
[2025-12-11 12:54:18] INPUT_ACTION | Up
[2025-12-11 12:54:19] INPUT_ACTION | Enter
[2025-12-11 12:54:19] INPUT_ACTION | Up
[2025-12-11 12:54:20] INPUT_ACTION | Enter
[2025-12-11 12:54:20] INPUT_ACTION | Up
[2025-12-11 12:54:20] INPUT_ACTION | Enter
[2025-12-11 12:54:21] INPUT_ACTION | Up
[2025-12-11 12:54:21] INPUT_ACTION | Enter
[2025-12-11 12:54:22] INPUT_ACTION | Up
[2025-12-11 12:54:22] INPUT_ACTION | Enter
[2025-12-11 12:54:23] INPUT_ACTION | Up
[2025-12-11 12:54:23] INPUT_ACTION | Enter
[2025-12-11 12:54:24] INPUT_ACTION | Up
[2025-12-11 12:54:28] INPUT_ACTION | Enter
[2025-12-11 12:54:28] INPUT_ACTION | Down
[2025-12-11 12:54:28] INPUT_ACTION | Up
[2025-12-11 12:54:29] INPUT_ACTION | Enter
[2025-12-11 12:54:29] INPUT_ACTION | Up
[2025-12-11 12:54:30] INPUT_ACTION | Enter
[2025-12-11 12:54:30] INPUT_ACTION | Up
[2025-12-11 12:54:31] INPUT_ACTION | Enter
[2025-12-11 12:54:31] INPUT_ACTION | Up
[2025-12-11 12:54:31] INPUT_ACTION | Enter
[2025-12-11 12:54:32] INPUT_ACTION | Escape
[2025-12-11 12:54:32] INPUT_ACTION | Down
[2025-12-11 12:54:34] INPUT_ACTION | Enter
[2025-12-11 12:54:35] INPUT_ACTION | Down
[2025-12-11 12:54:36] INPUT_ACTION | Enter
[2025-12-11 12:54:36] INPUT_ACTION | Down
[2025-12-11 12:54:37] INPUT_ACTION | Enter
[2025-12-11 12:54:37] INPUT_ACTION | Down
[2025-12-11 12:54:38] INPUT_ACTION | Enter
[2025-12-11 12:54:39] INPUT_ACTION | Down
[2025-12-11 12:54:39] INPUT_ACTION | Enter
[2025-12-11 12:54:40] INPUT_ACTION | Down
[2025-12-11 12:54:45] INPUT_ACTION | Enter
[2025-12-11 12:54:45] INPUT_ACTION | Down
[2025-12-11 12:54:51] INPUT_ACTION | Enter
[2025-12-11 12:54:55] INPUT_ACTION | Down
[2025-12-11 12:55:00] INPUT_ACTION | Enter
[2025-12-11 12:55:01] INPUT_ACTION | Up
[2025-12-11 12:55:01] INPUT_ACTION | Up
[2025-12-11 12:55:06] INPUT_ACTION | Up
[2025-12-11 12:55:06] INPUT_ACTION | Down
[2025-12-11 12:55:10] INPUT_ACTION | Enter
[2025-12-11 12:55:15] INPUT_ACTION | Escape
[2025-12-11 12:55:15] INPUT_ACTION | Down
[2025-12-11 12:55:15] INPUT_ACTION | Up
[2025-12-11 12:55:20] INPUT_ACTION | Down
[2025-12-11 12:55:20] INPUT_ACTION | Down
[2025-12-11 12:55:21] INPUT_ACTION | Down
[2025-12-11 12:55:24] INPUT_ACTION | Down
[2025-12-11 12:55:24] INPUT_ACTION | Up
[2025-12-11 12:55:24] INPUT_ACTION | Up
[2025-12-11 12:55:24] INPUT_ACTION | Q
[2025-12-11 12:58:27] INPUT_ACTION | Up
[2025-12-11 12:58:35] INPUT_ACTION | Enter
[2025-12-11 12:58:36] INPUT_ACTION | Q
[2025-12-11 13:00:20] INPUT_ACTION | Up
[2025-12-11 13:04:53] INPUT_ACTION | Enter
[2025-12-11 13:04:54] INPUT_ACTION | Q
[2025-12-11 13:06:09] INPUT_ACTION | Up
[2025-12-11 13:06:11] INPUT_ACTION | Enter
[2025-12-11 13:06:11] INPUT_ACTION | Q
